KELURAHAN,KECAMATAN,PUSKESMAS
SEWU,JEBRES,PUCANGSAWIT
JOGLO,BANJARSARI,GAMBIRSARI
MANAHAN,BANJARSARI,MANAHAN
BUMI,LAWEYAN,PENUMPING
JOYOSURAN,PASAR KLIWON,GAJAHAN
PURWODININGRATAN,JEBRES,PURWODININGRATAN
KARANGASEM,LAWEYAN,PAJANG
JEBRES,JEBRES,NGORESAN
PAJANG,LAWEYAN,PAJANG
JAGALAN,JEBRES,PUCANGSAWIT
LAWEYAN,LAWEYAN,PAJANG
PUNGGAWAN,BANJARSARI,GILINGAN
SONDAKAN,LAWEYAN,PAJANG
GAJAHAN,PASAR KLIWON,GAJAHAN
KAMPUNG BARU,PASAR KLIWON,GAJAHAN
MANGKUBUMEN,BANJARSARI,MANAHAN
KEPATIHAN WETAN,JEBRES,PURWODININGRATAN
PENUMPING,LAWEYAN,PENUMPING
KETELAN,BANJARSARI,SETABELAN
SERENGAN,SERENGAN,JAYENGAN
SUMBER,BANJARSARI,BANYUANYAR
SRIWEDARI,LAWEYAN,PENUMPING
BANYUANYAR,BANJARSARI,BANYUANYAR
KEPATIHAN KULON,JEBRES,PURWODININGRATAN
PUCANGSAWIT,JEBRES,PUCANGSAWIT
SANGKRAH,PASAR KLIWON,SANGKRAH
KAUMAN,PASAR KLIWON,GAJAHAN
SETABELAN,BANJARSARI,SETABELAN
TIMURAN,BANJARSARI,SETABELAN
BALUWARTI,PASAR KLIWON,GAJAHAN
GILINGAN,BANJARSARI,GILINGAN
JAJAR,LAWEYAN,PURWOSARI
KESTALAN,BANJARSARI,GILINGAN
TEGALHARJO,JEBRES,PURWODININGRATAN
KEDUNG LUMBU,PASAR KLIWON,SANGKRAH
MOJO,PASAR KLIWON,SANGKRAH
PANULARAN,LAWEYAN,PENUMPING
SEMANGGI,PASAR KLIWON,SANGKRAH
JAYENGAN,SERENGAN,JAYENGAN
BANJARSARI,BANJARSARI,GAMBIRSARI
PASAR KLIWON,PASAR KLIWON,GAJAHAN
MOJOSONGO,JEBRES,SIBELA
PURWOSARI,LAWEYAN,PURWOSARI
KERTEN,LAWEYAN,PURWOSARI
KEMLAYAN,SERENGAN,JAYENGAN
DANUKUSUMAN,SERENGAN,KRATONAN
TIPES,SERENGAN,JAYENGAN
JOYOTAKAN,SERENGAN,KRATONAN
KEPRABON,BANJARSARI,SETABELAN
GANDEKAN,JEBRES,PURWODININGRATAN
NUSUKAN,BANJARSARI,NUSUKAN
SUDIROPRAJAN,JEBRES,PURWODININGRATAN
KADIPIRO,BANJARSARI,GAMBIRSARI
KRATONAN,SERENGAN,KRATONAN
